rank,id,name,dataDrivenScore,contributingModels,coveragePct
1,muhammad,Muhammad,1.9031,13,1
2,jesus,Jesus,2.1185,13,1
3,gautama-buddha,Gautama Buddha,4.298,13,1
4,isaac-newton,Isaac Newton,4.5489,13,1
5,confucius,Confucius,5.387,13,1
6,aristotle,Aristotle,10.2423,13,1
7,albert-einstein,Albert Einstein,11.2146,13,1
8,charles-darwin,Charles Darwin,11.9252,13,1
9,johannes-gutenberg,Johannes Gutenberg,12.8146,13,1
10,karl-marx,Karl Marx,15.4965,13,1
11,plato,Plato,17.2286,13,1
12,genghis-khan,Genghis Khan,18.0414,13,1
13,alexander-the-great,Alexander the Great,18.7244,13,1
14,galileo-galilei,Galileo Galilei,18.9056,13,1
15,martin-luther,Martin Luther,22.0956,13,1
16,qin-shi-huang,Qin Shi Huang,28.6001,13,1
17,christopher-columbus,Christopher Columbus,28.7298,13,1
18,augustus,Augustus,30.0921,13,1
19,napoleon,Napoleon,30.8087,13,1
20,william-shakespeare,William Shakespeare,34.4729,13,1
21,adam-smith,Adam Smith,38.4053,13,1
22,paul-the-apostle,Paul the Apostle,39.7845,13,1
23,thomas-edison,Thomas Edison,41.0094,13,1
24,nicolaus-copernicus,Nicolaus Copernicus,43.7757,13,1
25,mao-zedong,Mao Zedong,47.4105,13,1
26,george-washington,George Washington,47.4164,13,1
27,louis-pasteur,Louis Pasteur,49.5858,13,1
28,ren-descartes,René Descartes,49.7247,13,1
29,john-locke,John Locke,52.5819,13,1
30,adolf-hitler,Adolf Hitler,53.1116,13,1
31,sigmund-freud,Sigmund Freud,54.2328,13,1
32,joseph-stalin,Joseph Stalin,56.4164,13,1
33,julius-caesar,Julius Caesar,56.4293,13,1
34,james-watt,James Watt,57.1655,13,1
35,immanuel-kant,Immanuel Kant,57.3466,13,1
36,mahatma-gandhi,Mahatma Gandhi,59.0906,13,1
37,moses,Moses,59.2238,13,1
38,ashoka,Ashoka,60.8665,13,1
39,charlemagne,Charlemagne,62.4799,13,1
40,abraham-lincoln,Abraham Lincoln,65.3278,13,1
41,leonardo-da-vinci,Leonardo da Vinci,66.129,13,1
42,winston-churchill,Winston Churchill,68.1817,13,1
43,vladimir-lenin,Vladimir Lenin,69.2577,13,1
44,voltaire,Voltaire,71.4417,13,1
45,constantine-the-great,Constantine the Great,75.0902,13,1
46,marie-curie,Marie Curie,79.4915,13,1
47,socrates,Socrates,80.8511,13,1
