model,region_js,era_js,domain_js,avg_js
mistral-large-3,0.0248,0.0399,0.0134,0.0260
gpt-5.2-thinking,0.0349,0.0266,0.0124,0.0246
gemini-flash-3-preview,0.0252,0.0208,0.0223,0.0228
deepseek-v3.2,0.0177,0.0186,0.0223,0.0195
glm-4.7,0.0168,0.0180,0.0162,0.0170
qwen3-235b-a22b,0.0084,0.0140,0.0280,0.0168
claude-sonnet-4.5,0.0203,0.0113,0.0093,0.0137
claude-opus-4.5,0.0166,0.0149,0.0090,0.0135
grok-4.1-fast,0.0083,0.0165,0.0151,0.0133
grok-4,0.0202,0.0122,0.0074,0.0133
gemini-pro-3,0.0031,0.0035,0.0281,0.0116
