File,Model,Verdict,Exact Duplicates,Fuzzy Duplicates,Max Pattern Sequence,Entry Count,Anchor Coverage,Summary
CLAUDE OPUS 4.5 LIST 1 (January 12, 2025).txt,CLAUDE OPUS 4.5,FAIL,87,35,0,1000,43/43,"Issues: 87 exact duplicates"
CLAUDE OPUS 4.5 LIST 2 (January 12, 2025).txt,CLAUDE OPUS 4.5,PASS,5,50,18,1000,42/43,"List passes all quality checks"
CLAUDE OPUS 4.5 LIST 3 (January 12, 2025).txt,CLAUDE OPUS 4.5,FAIL,2,18,65,1000,43/43,"Issues: 2 exact duplicates; pattern collapse (max 65)"
CLAUDE OPUS 4.5 LIST 4 (January 13, 2025).txt,CLAUDE OPUS 4.5,FAIL,71,61,0,1132,42/43,"Issues: 71 exact duplicates; 1132 entries (expected 1000); non-sequential ranks"
CLAUDE SONNET 4.5 LIST 1 (January 12, 2025).txt,CLAUDE SONNET 4.5,FAIL,8,8,20,1000,43/43,"Issues: 8 exact duplicates; pattern collapse (max 20); non-sequential ranks"
CLAUDE SONNET 4.5 LIST 2 (January 12, 2025).txt,CLAUDE SONNET 4.5,FAIL,72,18,0,1000,42/43,"Issues: 72 exact duplicates"
CLAUDE SONNET 4.5 LIST 3 (January 12, 2025).txt,CLAUDE SONNET 4.5,FAIL,222,37,24,1000,42/43,"Issues: 222 exact duplicates; pattern collapse (max 24); non-sequential ranks"
CLAUDE SONNET 4.5 LIST 4 (January 12, 2025).txt,CLAUDE SONNET 4.5,FAIL,58,69,0,1000,41/43,"Issues: 58 exact duplicates"
CLAUDE SONNET 4.5 LIST 5 (January 13, 2025).txt,CLAUDE SONNET 4.5,FAIL,36,7,36,1000,43/43,"Issues: 36 exact duplicates; pattern collapse (max 36)"
Claude Haiku 4.5 LIST 1 (January 18, 2026).txt,Claude Haiku 4.5,FAIL,268,4,97,1000,23/43,"Issues: 268 exact duplicates; pattern collapse (max 97); 10 missing anchors"
Claude Opus 4.5 LIST 5 (January 14, 2026).txt,Claude Opus 4.5,FAIL,71,15,11,1000,43/43,"Issues: 71 exact duplicates; pattern collapse (max 11)"
Claude Opus 4.5 LIST 6 (January 14, 2026).txt,Claude Opus 4.5,PASS,8,19,10,1000,42/43,"List passes all quality checks"
Claude Opus 4.5 LIST 7 (January 14, 2026).txt,Claude Opus 4.5,PASS,8,14,15,1000,41/43,"List passes all quality checks"
Claude Opus 4.5 LIST 8 (January 16, 2026).txt,Claude Opus 4.5,PASS,5,9,10,1000,43/43,"List passes all quality checks"
