"Name","Slug","Occupation","Born","HPI Rank","HPI Score","2025 Views","2024 Views","Gap","Gap Score","YoY Change %","Momentum Q1-Q3 %","Label"
"Muhammad","Muhammad","RELIGIOUS FIGURE","570","1","100","4472864","4913518","+1.8×","0.26","-9","1.8","Steady"
"Gautama Buddha","Gautama_Buddha","PHILOSOPHER","-566","2","99.481783","411187","443608","−4.8×","-0.68","-7.3","29.2","Emerging"
"Isaac Newton","Isaac_Newton","PHYSICIST","1643","3","99.439201","3683953","3223059","+2.1×","0.32","14.3","-28.3","Cooling Off"
"Donald Trump","Donald_Trump","POLITICIAN","1946","4","99.267069","35996821","50841230","+22×","1.35","-29.2","-53.9","Post-Peak"
"Genghis Khan","Genghis_Khan","MILITARY PERSONNEL","1162","5","98.434181","3953543","3935134","+2.6×","0.42","0.5","-7.8","Steady"
"Cleopatra","Cleopatra","POLITICIAN","-69","6","98.337383","20226025","50440914","+14×","1.15","-59.9","-32","Crashing"
"Mahatma Gandhi","Mahatma_Gandhi","SOCIAL ACTIVIST","1869","7","97.707933","4754928","5757486","+3.5×","0.54","-17.4","-17.3","Famous"
"Pope Francis","Pope_Francis","RELIGIOUS FIGURE","1936","8","97.042983","17952958","3661764","+14×","1.14","390.3","-83.8","Breakout Star"
"Mary, mother of Jesus","Mary,_mother_of_Jesus","RELIGIOUS FIGURE","-100","9","96.936305","1440823","1740159","~1×","0.06","-17.2","2.2","Steady"
"Ludwig van Beethoven","Ludwig_van_Beethoven","COMPOSER","1770","10","96.8901","1927873","2224150","+1.6×","0.20","-13.3","-12.3","Steady"
"Leonardo da Vinci","Leonardo_da_Vinci","INVENTOR","1452","11","96.801826","2902474","3655844","+2.4×","0.39","-20.6","-17.3","Steady"
"Aristotle","Aristotle","PHILOSOPHER","-384","12","96.252463","2020942","2246348","+1.8×","0.24","-10","-4.2","Steady"
"Marco Polo","Marco_Polo","EXPLORER","1254","13","96.207777","1176278","1480526","~1×","0.02","-20.5","-12.3","Steady"
"Elizabeth I of England","Elizabeth_I_of_England","POLITICIAN","1533","14","96.042419","320985","430426","−3.4×","-0.54","-25.4","-17.1","Underrated"
"Plato","Plato","PHILOSOPHER","-427","15","95.935845","1572468","1909768","+1.5×","0.16","-17.7","-4.6","Steady"
"Alexander the Great","Alexander_the_Great","MILITARY PERSONNEL","-356","16","95.634894","4099999","6044113","+3.9×","0.59","-32.2","-11.8","Famous"
"Saint Peter","Saint_Peter","RELIGIOUS FIGURE","-1","17","95.455494","2832198","1846811","+2.7×","0.44","53.4","-18.5","Steady"
"Homer","Homer","WRITER","-800","18","95.41286","1213232","1166007","~1×","0.07","4.1","-13.2","Steady"
"Wolfgang Amadeus Mozart","Wolfgang_Amadeus_Mozart","COMPOSER","1756","19","95.366832","2444165","3090458","+2.4×","0.39","-20.9","-5.4","Steady"
"Napoleon","Napoleon","POLITICIAN","1769","20","95.287743","5936618","9283084","+6.0×","0.78","-36","-41.2","Post-Peak"
"Galileo Galilei","Galileo_Galilei","ASTRONOMER","1564","21","95.07624","1599797","1990945","+1.6×","0.21","-19.6","-18.2","Steady"
"Adolf Hitler","Adolf_Hitler","POLITICIAN","1889","22","94.988012","9229432","9546534","+9.6×","0.98","-3.3","-23.5","Post-Peak"
"Christopher Columbus","Christopher_Columbus","EXPLORER","1451","23","94.907907","3277555","3299217","+3.5×","0.54","-0.7","-0.9","Famous"
"Socrates","Socrates","PHILOSOPHER","-470","24","94.901124","1701515","1856855","+1.8×","0.26","-8.4","-3","Steady"
"Albert Einstein","Albert_Einstein","PHYSICIST","1879","25","94.826997","5344080","6985017","+5.8×","0.76","-23.5","-11.5","Famous"
"Henry VIII of England","Henry_VIII_of_England","NOBLEMAN","1491","26","94.649076","687230","592784","−1.3×","-0.12","15.9","-16","Steady"
"Marie Curie","Marie_Curie","PHYSICIST","1867","27","94.302002","2762232","3181114","+3.1×","0.48","-13.2","-5.5","Steady"
"Jesus","Jesus","RELIGIOUS FIGURE","-4","28","94.236051","5321763","5544587","+5.9×","0.77","-4","-4.6","Famous"
"Jimmy Carter","Jimmy_Carter","POLITICIAN","1924","29","93.903276","6989937","79714650","+7.9×","0.90","-91.2","-79.8","Crashing"
"Pope Benedict XVI","Pope_Benedict_XVI","RELIGIOUS FIGURE","1927","30","93.896537","5948158","1606142","+6.8×","0.83","270.3","-80.3","Breakout Star"
"Nicolaus Copernicus","Nicolaus_Copernicus","ASTRONOMER","1473","31","93.78406","986390","1124249","~1×","0.06","-12.3","-24.9","Cooling Off"
"Julius Caesar","Julius_Caesar","POLITICIAN","-100","32","93.777536","3427097","4154302","+4.0×","0.60","-17.5","-23.9","Post-Peak"
"Confucius","Confucius","PHILOSOPHER","-551","33","93.574957","1275564","1634914","+1.5×","0.18","-22","-47.1","Cooling Off"
"Michelangelo","Michelangelo","PAINTER","1475","34","93.544328","1625159","1756382","+1.9×","0.28","-7.5","-14.6","Steady"
"Archimedes","Archimedes","MATHEMATICIAN","-287","35","93.411157","997257","1173765","~1×","0.08","-15","-22.6","Cooling Off"
"Pythagoras","Pythagoras","PHILOSOPHER","-570","36","93.359732","837457","1062878","~1×","0.00","-21.2","-14.6","Steady"
"Vincent van Gogh","Vincent_van_Gogh","PAINTER","1853","37","93.258266","2574277","3006288","+3.1×","0.50","-14.4","-16.4","Steady"
"Moses","Moses","RELIGIOUS FIGURE","-1393","38","93.255134","1644995","2572287","+2.0×","0.30","-36","-5.7","Steady"
"Fyodor Dostoevsky","Fyodor_Dostoevsky","WRITER","1821","39","93.202117","1922314","2093809","+2.4×","0.38","-8.2","-14.1","Steady"
"Thomas Jefferson","Thomas_Jefferson","POLITICIAN","1743","40","93.181084","3076405","3155667","+3.8×","0.58","-2.5","-18","Famous"
"Che Guevara","Che_Guevara","SOCIAL ACTIVIST","1928","41","93.089165","3187504","3029863","+4.0×","0.60","5.2","12.4","Famous"
"Louis XIV of France","Louis_XIV_of_France","POLITICIAN","1638","42","93.008697","220906","260329","−3.6×","-0.55","-15.1","-9.2","Underrated"
"Adam Smith","Adam_Smith","ECONOMIST","1723","43","92.990597","891354","957979","~1×","0.05","-7","-2","Steady"
"Mother Teresa","Mother_Teresa","SOCIAL ACTIVIST","1910","44","92.983731","2226625","2435676","+2.8×","0.45","-8.6","-1.8","Steady"
"Johann Sebastian Bach","Johann_Sebastian_Bach","COMPOSER","1685","45","92.781625","1292917","1449116","+1.7×","0.22","-10.8","-16.9","Steady"
"Martin Luther","Martin_Luther","RELIGIOUS FIGURE","1483","46","92.768507","1944721","2006412","+2.5×","0.40","-3.1","-18","Steady"
"Ferdinand Magellan","Ferdinand_Magellan","EXPLORER","1480","47","92.617648","1029545","1161643","+1.3×","0.13","-11.4","-7.6","Steady"
"William Shakespeare","William_Shakespeare","WRITER","1564","48","92.587866","4161599","4846567","+5.5×","0.74","-14.1","-14.1","Famous"
"Pope John Paul II","Pope_John_Paul_II","RELIGIOUS FIGURE","1920","49","92.563665","4975393","1687545","+6.6×","0.82","194.8","-55","Post-Peak"
"Martin Luther King Jr.","Martin_Luther_King_Jr.","SOCIAL ACTIVIST","1929","50","92.494023","4590002","5158742","+6.1×","0.79","-11","-53.4","Post-Peak"
"Frédéric Chopin","Frédéric_Chopin","COMPOSER","1810","51","92.475538","1296745","1219419","+1.7×","0.24","6.3","-15.1","Steady"
"Immanuel Kant","Immanuel_Kant","PHILOSOPHER","1724","52","92.346663","1265607","1241782","+1.7×","0.23","1.9","16.7","Steady"
"Karl Marx","Karl_Marx","ECONOMIST","1818","53","92.238114","2611381","2835752","+3.5×","0.55","-7.9","-4.4","Famous"
"Joseph Stalin","Joseph_Stalin","POLITICIAN","1879","54","92.218344","4775038","5077036","+6.5×","0.81","-5.9","-15.5","Famous"
"Akbar","Akbar","POLITICIAN","1542","55","92.192552","1698630","1432205","+2.3×","0.37","18.6","-53.9","Cooling Off"
"Dante Alighieri","Dante_Alighieri","WRITER","1265","56","92.127164","1100948","1187279","+1.5×","0.18","-7.3","-3.6","Steady"
