id,canonical_name,wikipedia_slug,birth_year,domain,era,llm_consensus_rank,region_macro,region_sub,birth_polity,birth_place,birth_lat,birth_lon
ferdinand-magellan,"Ferdinand Magellan",Ferdinand_Magellan,1480,Exploration,Medieval,143.5,"","","","","",""
al-farabi,Al-Farabi,Al-Farabi,872,Philosophy,Medieval,145.0,"","","","","",""
babur,Babur,Babur,1483,Politics,Medieval,146.0,"","","","","",""
david-hume,"David Hume",David_Hume,1711,Philosophy,"Early Modern",153.8,"","","","","",""
francisco-pizarro,"Francisco Pizarro",Francisco_Pizarro,1478,Exploration,Medieval,153.8,"","","","","",""
dmitri-mendeleev,"Dmitri Mendeleev",Dmitri_Mendeleev,1834,Science,Modern,155.0,"","","","","",""
enrico-fermi,"Enrico Fermi",Enrico_Fermi,1901,Science,Modern,157.7,"","","","","",""
leonhard-euler,"Leonhard Euler",Leonhard_Euler,1707,Science,"Early Modern",160.2,"","","","","",""
friedrich-nietzsche,"Friedrich Nietzsche",Friedrich_Nietzsche,1844,Philosophy,Modern,160.7,"","","","","",""
thomas-hobbes,"Thomas Hobbes",Thomas_Hobbes,1588,Philosophy,"Early Modern",161.5,"","","","","",""
albrecht-d-rer,"Albrecht Dürer","Albrecht_Dürer",1471,Arts,Medieval,163.0,"","","","","",""
marie-antoinette,"Marie Antoinette",Marie_Antoinette,1755,Politics,"Early Modern",165.0,"","","","","",""
niccol-machiavelli,"Niccolò Machiavelli","Niccolò_Machiavelli",1469,Philosophy,Medieval,177.3,"","","","","",""
marco-polo,"Marco Polo",Marco_Polo,1254,Exploration,Medieval,177.8,"","","","","",""
mary-i-of-england,"Mary I of England",Mary_I_of_England,1516,Politics,"Early Modern",180.0,"","","","","",""
herodotus,Herodotus,Herodotus,-484,Other,Classical,182.5,"","","","","",""
ramesses-ii,"Ramesses II",Ramesses_II,-1303,Politics,Ancient,183.0,"","","","","",""
sun-tzu,"Sun Tzu",Sun_Tzu,-544,Philosophy,Ancient,186.5,"","","","","",""
michelangelo,Michelangelo,Michelangelo,1475,Arts,Medieval,189.5,"","","","","",""
martin-luther-king-jr,"Martin Luther King Jr.",Martin_Luther_King_Jr.,1929,"Social Reform",Modern,192.2,"","","","","",""
mikhail-gorbachev,"Mikhail Gorbachev",Mikhail_Gorbachev,1931,Politics,Modern,192.2,"","","","","",""
ptolemy,Ptolemy,Ptolemy,100,Science,Classical,194.0,"","","","","",""
maximilien-robespierre,"Maximilien Robespierre",Maximilien_Robespierre,1758,Politics,"Early Modern",196.0,"","","","","",""
robert-koch,"Robert Koch",Robert_Koch,1843,Medicine,Modern,199.8,"","","","","",""
wilhelm-r-ntgen,"Wilhelm Röntgen","Wilhelm_Röntgen",1845,Science,Modern,201.0,"","","","","",""
el-greco,"El Greco",El_Greco,1541,Arts,"Early Modern",202.0,"","","","","",""
walt-disney,"Walt Disney",Walt_Disney,1901,Other,Modern,207.5,"","","","","",""
pocahontas,Pocahontas,Pocahontas,1595,Politics,"Early Modern",210.0,"","","","","",""
mustafa-kemal-atat-rk,"Mustafa Kemal Atatürk","Mustafa_Kemal_Atatürk",1881,Politics,Modern,213.0,"","","","","",""
benjamin-franklin,"Benjamin Franklin",Benjamin_Franklin,1706,Politics,"Early Modern",213.0,"","","","","",""
muhammad-ali-of-egypt,"Muhammad Ali of Egypt",Muhammad_Ali_of_Egypt,1769,Politics,"Early Modern",215.0,"","","","","",""
claudio-monteverdi,"Claudio Monteverdi",Claudio_Monteverdi,1567,Arts,"Early Modern",221.0,"","","","","",""
rumi,Rumi,Rumi,1207,Arts,Medieval,221.3,"","","","","",""
nefertiti,Nefertiti,Nefertiti,-1400,Other,Ancient,228.0,"","","","","",""
averroes,Averroes,Averroes,1126,Philosophy,Medieval,228.5,"","","","","",""
pierre-de-fermat,"Pierre de Fermat",Pierre_de_Fermat,1601,Science,"Early Modern",229.0,"","","","","",""
ibn-al-haytham,"Ibn al-Haytham",Ibn_al-Haytham,965,Science,Medieval,230.8,"","","","","",""
william-the-conqueror,"William the Conqueror",William_the_Conqueror,1028,Politics,Medieval,232.4,"","","","","",""
john-f-kennedy,"John F. Kennedy",John_F._Kennedy,1917,Politics,Modern,234.0,"","","","","",""
