id,canonical_name,wikipedia_slug,birth_year,domain,era,llm_consensus_rank,region_macro,region_sub,birth_polity,birth_place,birth_lat,birth_lon
ferdinand-magellan,Ferdinand Magellan,Ferdinand_Magellan,1480,Exploration,Medieval,143.5,Europe,Southern Europe,Portugal,Ponte da Barca,41.8,-8.4166666666667
al-farabi,Al-Farabi,Al-Farabi,872,Philosophy,Medieval,145.0,Asia,Central Asia,Kazakhstan,Otrar,42.8514829,68.3029696
babur,Babur,Babur,1483,Politics,Medieval,146.0,Asia,Central Asia,Uzbekistan,Andijan,40.781944444444,72.344166666667
david-hume,David Hume,David_Hume,1711,Philosophy,Early Modern,153.8,Europe,Northern Europe,United Kingdom,Edinburgh,55.95333333333333,-3.1891666666666665
francisco-pizarro,Francisco Pizarro,Francisco_Pizarro,1478,Exploration,Medieval,153.8,Europe,Southern Europe,Spain,Trujillo,39.465277777778,-5.8788888888889
dmitri-mendeleev,Dmitri Mendeleev,Dmitri_Mendeleev,1834,Science,Modern,155.0,Europe,Eastern Europe,Russia,Tobolsk,58.195277777778,68.258055555556
enrico-fermi,Enrico Fermi,Enrico_Fermi,1901,Science,Modern,157.7,Europe,Southern Europe,Italy,Rome,41.893055555556,12.482777777778
leonhard-euler,Leonhard Euler,Leonhard_Euler,1707,Science,Early Modern,160.2,Europe,Western Europe,Switzerland,Basel,47.560555555556,7.5905555555556
friedrich-nietzsche,Friedrich Nietzsche,Friedrich_Nietzsche,1844,Philosophy,Modern,160.7,Europe,Western Europe,Germany,Röcken,51.240833333333,12.116111111111
thomas-hobbes,Thomas Hobbes,Thomas_Hobbes,1588,Philosophy,Early Modern,161.5,Europe,Northern Europe,United Kingdom,Westport,51.5854,-2.10135
albrecht-d-rer,Albrecht Dürer,Albrecht_Dürer,1471,Arts,Medieval,163.0,Europe,Western Europe,Germany,Nuremberg,49.45388888888889,11.0775
marie-antoinette,Marie Antoinette,Marie_Antoinette,1755,Politics,Early Modern,165.0,Europe,Western Europe,Austria,Hofburg Palace,48.20638888888889,16.365277777777777
niccol-machiavelli,Niccolò Machiavelli,Niccolò_Machiavelli,1469,Philosophy,Medieval,177.3,Europe,Southern Europe,Kingdom of Italy,Florence,43.771388888889,11.254166666667
marco-polo,Marco Polo,Marco_Polo,1254,Exploration,Medieval,177.8,Europe,Southern Europe,Italy,Venice,45.439722222222,12.331944444444
mary-i-of-england,Mary I of England,Mary_I_of_England,1516,Politics,Early Modern,180.0,Europe,Northern Europe,United Kingdom,Palace of Placentia,51.482222222222,-0.0066666666666667
herodotus,Herodotus,Herodotus,-484,Other,Classical,182.5,Asia,Western Asia,Turkey,Halicarnassus,37.037778,27.424167
ramesses-ii,Ramesses II,Ramesses_II,-1303,Politics,Ancient,183.0,Africa,North Africa,Ancient Egypt,,,
sun-tzu,Sun Tzu,Sun_Tzu,-544,Philosophy,Ancient,186.5,Asia,East Asia,Qi,Qi,36.865,118.34
michelangelo,Michelangelo,Michelangelo,1475,Arts,Medieval,189.5,Europe,Southern Europe,Italy,Caprese Michelangelo,43.640833333333,11.985833333333
martin-luther-king-jr,Martin Luther King Jr.,Martin_Luther_King_Jr.,1929,Social Reform,Modern,192.2,Americas,North America,United States,Atlanta,33.756944444444,-84.390277777778
mikhail-gorbachev,Mikhail Gorbachev,Mikhail_Gorbachev,1931,Politics,Modern,192.2,Europe,Eastern Europe,Russia,Privolnoye,45.9175,41.307222222222
ptolemy,Ptolemy,Ptolemy,100,Science,Classical,194.0,Africa,North Africa,Ancient Egypt,Ptolemais Hermiou,26.476944444444,31.803611111111
maximilien-robespierre,Maximilien Robespierre,Maximilien_Robespierre,1758,Politics,Early Modern,196.0,Europe,Western Europe,France,Arras,50.289166666667,2.78
robert-koch,Robert Koch,Robert_Koch,1843,Medicine,Modern,199.8,Europe,Western Europe,Germany,Clausthal,51.80361111,10.33305556
wilhelm-r-ntgen,Wilhelm Röntgen,Wilhelm_Röntgen,1845,Science,Modern,201.0,Europe,Western Europe,Germany,Lennep,51.192591666667,7.2570916666667
el-greco,El Greco,El_Greco,1541,Arts,Early Modern,202.0,Europe,Southern Europe,Greece,Heraklion,35.34027777777778,25.134444444444444
walt-disney,Walt Disney,Walt_Disney,1901,Other,Modern,207.5,Americas,North America,United States,Chicago,41.88194444444444,-87.62777777777778
pocahontas,Pocahontas,Pocahontas,1595,Politics,Early Modern,210.0,Americas,North America,United States,Werowocomoco,37.412,-76.649
mustafa-kemal-atat-rk,Mustafa Kemal Atatürk,Mustafa_Kemal_Atatürk,1881,Politics,Modern,213.0,Europe,Southern Europe,Greece,Thessaloniki,40.640277777777776,22.935555555555556
benjamin-franklin,Benjamin Franklin,Benjamin_Franklin,1706,Politics,Early Modern,213.0,Americas,North America,United States,Boston,42.360277777777775,-71.05777777777777
muhammad-ali-of-egypt,Muhammad Ali of Egypt,Muhammad_Ali_of_Egypt,1769,Politics,Early Modern,215.0,Europe,Southern Europe,Greece,,40.93959,24.40687
claudio-monteverdi,Claudio Monteverdi,Claudio_Monteverdi,1567,Arts,Early Modern,221.0,Europe,Southern Europe,Italy,Cremona,45.13333333333333,10.024722222222222
rumi,Rumi,Rumi,1207,Arts,Medieval,221.3,Asia,South Asia,Afghanistan,Balkh,36.758055555556,66.898888888889
nefertiti,Nefertiti,Nefertiti,-1400,Other,Ancient,228.0,Africa,North Africa,Egypt,Thebes,25.720555555556,32.610277777778
averroes,Averroes,Averroes,1126,Philosophy,Medieval,228.5,Europe,Southern Europe,Spain,Córdoba,37.89,-4.78
pierre-de-fermat,Pierre de Fermat,Pierre_de_Fermat,1601,Science,Early Modern,229.0,Europe,Western Europe,France,Beaumont-de-Lomagne,43.883055555556,0.98833333333333
ibn-al-haytham,Ibn al-Haytham,Ibn_al-Haytham,965,Science,Medieval,230.8,Asia,Western Asia,Iraq,Basra,30.515,47.81
william-the-conqueror,William the Conqueror,William_the_Conqueror,1028,Politics,Medieval,232.4,Europe,Western Europe,France,Falaise,48.897222222222,-0.1975
john-f-kennedy,John F. Kennedy,John_F._Kennedy,1917,Politics,Modern,234.0,Americas,North America,United States,Brookline,42.331666666667,-71.121666666667
guru-nanak,Guru Nanak,Guru_Nanak,1469,Religion,Medieval,237.7,Asia,South Asia,Pakistan,Nankana Sahib,31.449187,73.712437
rosa-luxemburg,Rosa Luxemburg,Rosa_Luxemburg,1871,Social Reform,Modern,240.8,Europe,Eastern Europe,Poland,Zamość,50.720555555556,23.258611111111
livy,Livy,Livy,-59,Other,Classical,241.0,Europe,Southern Europe,Italy,Padua,45.40777777777778,11.873333333333333
johann-sebastian-bach,Johann Sebastian Bach,Johann_Sebastian_Bach,1685,Arts,Early Modern,242.3,Europe,Western Europe,Germany,Eisenach,50.974722222222,10.324444444444
indira-gandhi,Indira Gandhi,Indira_Gandhi,1917,Politics,Modern,244.0,Asia,South Asia,India,Prayagraj,25.45,81.85
