id,canonical_name,wikipedia_slug,birth_year,domain,era,llm_consensus_rank,region_macro,region_sub,birth_polity,birth_place,birth_lat,birth_lon
muhammad,Muhammad,Muhammad,570,Religion,Medieval,1.0,Asia,Western Asia,Saudi Arabia,Mecca,21.4225,39.826111111111
isaac-newton,Isaac Newton,Isaac_Newton,1643,Science,Early Modern,2.0,Europe,Northern Europe,United Kingdom,Woolsthorpe Manor,52.809167,-0.630556
jesus,Jesus,Jesus,-4,Religion,Classical,3.0,Asia,Western Asia,Palestine,Bethlehem,31.704444444444,35.206111111111
gautama-buddha,Gautama Buddha,Gautama_Buddha,-566,Philosophy,Ancient,4.0,Asia,South Asia,,,,
confucius,Confucius,Confucius,-551,Philosophy,Ancient,5.0,Asia,East Asia,People's Republic of China,Qufu,35.6,116.98333333333
paul-the-apostle,Paul the Apostle,Paul_the_Apostle,5,Religion,Classical,8.5,Asia,Western Asia,Turkey,Tarsus,36.916666666667,34.9
aristotle,Aristotle,Aristotle,-384,Philosophy,Classical,10.0,Europe,Southern Europe,Greece,Stageira,40.59083333,23.79416667
albert-einstein,Albert Einstein,Albert_Einstein,1879,Science,Modern,11.5,Europe,Western Europe,Germany,Ulm,48.39841,9.99155
charles-darwin,Charles Darwin,Charles_Darwin,1809,Science,Modern,12.5,Europe,Northern Europe,United Kingdom,The Mount,52.7128,-2.76334
christopher-columbus,Christopher Columbus,Christopher_Columbus,1451,Exploration,Medieval,13.0,Europe,Southern Europe,Italy,Genoa,44.407186111111,8.9339833333333
qin-shi-huang,Qin Shi Huang,Qin_Shi_Huang,-258,Politics,Classical,13.5,Asia,East Asia,People's Republic of China,Handan,36.61161,114.48937
galileo-galilei,Galileo Galilei,Galileo_Galilei,1564,Science,Early Modern,15.5,Europe,Southern Europe,Italy,Pisa,43.716666666667,10.4
augustus,Augustus,Augustus,-63,Politics,Classical,16.5,Europe,Southern Europe,Italy,Rome,41.893055555556,12.482777777778
genghis-khan,Genghis Khan,Genghis_Khan,1162,Other,Medieval,17.8,Asia,East Asia,Mongolia,Delüün Boldog,50.51666667,115.03333333
euclid,Euclid,Euclid,-350,Science,Classical,19.0,Africa,North Africa,Classical Athens,,,
karl-marx,Karl Marx,Karl_Marx,1818,Economics,Modern,21.5,Europe,Western Europe,Germany,Trier,49.75565,6.63935
james-watt,James Watt,James_Watt,1736,Science,Early Modern,21.7,Europe,Northern Europe,United Kingdom,Greenock,55.95,-4.7666666666667
nicolaus-copernicus,Nicolaus Copernicus,Nicolaus_Copernicus,1473,Science,Medieval,23.0,Europe,Eastern Europe,Poland,Toruń,53.016666666667,18.616666666667
plato,Plato,Plato,-427,Philosophy,Classical,23.2,Europe,Southern Europe,Greece,Athens,37.98416666666667,23.728055555555557
moses,Moses,Moses,-1393,Religion,Ancient,26.0,Africa,North Africa,Egypt,Helwan,29.8493,31.3327
alexander-the-great,Alexander the Great,Alexander_the_Great,-356,Other,Classical,26.3,Europe,Southern Europe,Greece,Pella,40.76,22.519167
napoleon,Napoleon,Napoleon,1769,Politics,Early Modern,30.8,Europe,Western Europe,France,Ajaccio,41.925555555556,8.7363888888889
michael-faraday,Michael Faraday,Michael_Faraday,1791,Science,Early Modern,31.2,Europe,Northern Europe,United Kingdom,Newington Butts,51.49277778,-0.10111111
thomas-edison,Thomas Edison,Thomas_Edison,1847,Science,Modern,31.8,Americas,North America,United States,Milan,41.29306,-82.60111
william-shakespeare,William Shakespeare,William_Shakespeare,1564,Arts,Early Modern,32.5,Europe,Northern Europe,United Kingdom,Stratford-upon-Avon,52.19277777777778,-1.7063888888888887
adam-smith,Adam Smith,Adam_Smith,1723,Economics,Early Modern,33.8,Europe,Northern Europe,United Kingdom,Kirkcaldy,56.110730555556,-3.1673694444444
antonie-van-leeuwenhoek,Antonie van Leeuwenhoek,Antonie_van_Leeuwenhoek,1632,Science,Early Modern,34.7,Europe,Western Europe,Netherlands,Delft,52.01166666666666,4.359166666666667
constantine-the-great,Constantine the Great,Constantine_the_Great,272,Politics,Classical,35.2,Europe,Eastern Europe,Serbia,Niš,43.319166666667,21.896111111111
ashoka,Ashoka,Ashoka,-304,Politics,Classical,41.3,Asia,South Asia,India,Patna,25.61,85.141388888889
