3. Gutenberg, Johannes
4. Newton, Isaac
5. Darwin, Charles
6. Einstein, Albert
18. Copernicus, Nicolaus
20. Descartes, René
21. Locke, John
22. Kant, Immanuel
23. Hegel, Georg Wilhelm Friedrich
24. Marx, Karl
26. Watt, James
27. Volta, Alessandro
28. Faraday, Michael
29. Maxwell, James Clerk
30. Edison, Thomas
31. Tesla, Nikola
32. Mendel, Gregor
33. Pasteur, Louis
34. Lister, Joseph
35. Fleming, Alexander
36. Curie, Marie
37. Rutherford, Ernest
38. Bohr, Niels
39. Heisenberg, Werner
40. Schrödinger, Erwin
41. Dirac, Paul
42. Feynman, Richard
43. Hawking, Stephen
44. Turing, Alan
45. von Neumann, John
46. Shannon, Claude
48. Babbage, Charles
49. Lovelace, Ada
50. Boole, George
51. Cantor, Georg
52. Hilbert, David
53. Gödel, Kurt
54. Ramanujan, Srinivasa
55. Riemann, Bernhard
56. Gauss, Carl Friedrich
57. Euler, Leonhard
59. Leibniz, Gottfried Wilhelm
60. Lagrange, Joseph-Louis
61. Laplace, Pierre-Simon
62. Fourier, Jean-Baptiste Joseph
63. Cauchy, Augustin-Louis
64. Weierstrass, Karl
65. Dedekind, Richard
66. Poincaré, Henri
67. Lobachevsky, Nikolai
68. Bolyai, János
69. Galois, Évariste
70. Abel, Niels Henrik
71. Jacobi, Carl Gustav Jacob
72. Hermite, Charles
73. Lindemann, Ferdinand von
74. Kronecker, Leopold
75. Chebyshev, Pafnuty
76. Dirichlet, Peter Gustav Lejeune
77. Möbius, August Ferdinand
78. Sylvester, James Joseph
79. Cayley, Arthur
80. Hamilton, William Rowan
81. Grassmann, Hermann
82. Clifford, William Kingdon
83. Lie, Sophus
84. Klein, Felix
85. Weyl, Hermann
86. Noether, Emmy
87. Lebesgue, Henri
88. Banach, Stefan
89. Hausdorff, Felix
90. Brouwer, Luitzen Egbertus Jan
91. Zermelo, Ernst
92. Fraenkel, Abraham
93. Tarski, Alfred
94. Church, Alonzo
95. Gelfand, Israel
96. Kolmogorov, Andrey
97. Wiener, Norbert
98. Neumann, John von
99. Birkhoff, George David
100. Lefschetz, Solomon
101. Grothendieck, Alexander
102. Wiles, Andrew
103. Perelman, Grigori
104. Atiyah, Michael
105. Serre, Jean-Pierre
106. Bourbaki, Nicolas
116. Al-Khwarizmi, Muhammad ibn Musa
117. Al-Razi, Muhammad ibn Zakariya
118. Al-Biruni, Abu Rayhan
119. Ibn Sina, Abu Ali
120. Al-Ghazali, Abu Hamid
121. Averroes, Ibn Rushd
122. Maimonides, Moses ben Maimon
123. Aquinas, Thomas
124. Ockham, William of
125. Duns Scotus, John
127. Petrarch, Francesco
128. Boccaccio, Giovanni
129. Chaucer, Geoffrey
130. Cervantes, Miguel de
131. Shakespeare, William
133. Goethe, Johann Wolfgang von
134. Tolstoy, Leo
135. Dostoevsky, Fyodor
136. Austen, Jane
137. Dickens, Charles
138. Balzac, Honoré de
139. Flaubert, Gustave
140. Proust, Marcel
141. Joyce, James
142. Kafka, Franz
143. Woolf, Virginia
144. Faulkner, William
145. Hemingway, Ernest
146. García Márquez, Gabriel
147. Achebe, Chinua
148. Morrison, Toni
149. Rushdie, Salman
150. Freud, Sigmund
151. Jung, Carl
152. Pavlov, Ivan
153. Skinner, Burrhus Frederic
154. Piaget, Jean
155. Vygotsky, Lev
156. Maslow, Abraham
157. Rogers, Carl
158. Chomsky, Noam
159. Wittgenstein, Ludwig
160. Russell, Bertrand
161. Quine, Willard Van Orman
162. Kripke, Saul
163. Rawls, John
165. Sen, Amartya
166. Foucault, Michel
167. Derrida, Jacques
168. Lacan, Jacques
169. Lévi-Strauss, Claude
170. Bourdieu, Pierre
171. Giddens, Anthony
172. Habermas, Jürgen
173. Baudrillard, Jean
174. Jameson, Fredric
175. Butler, Judith
176. Spivak, Gayatri Chakravorty
177. Said, Edward
178. Bhabha, Homi
179. Fanon, Frantz
180. Gramsci, Antonio
181. Althusser, Louis
182. Lukács, György
183. Adorno, Theodor
184. Horkheimer, Max
185. Marcuse, Herbert
186. Benjamin, Walter
187. Sartre, Jean-Paul
188. Camus, Albert
189. Heidegger, Martin
190. Husserl, Edmund
191. Merleau-Ponty, Maurice
192. Levinas, Emmanuel
193. Deleuze, Gilles
194. Guattari, Félix
195. Whitehead, Alfred North
196. Popper, Karl
197. Kuhn, Thomas
198. Lakatos, Imre
199. Feyerabend, Paul
200. Putnam, Hilary
201. Dennett, Daniel
202. Searle, John
203. Chalmers, David
204. Nagel, Thomas
205. Jackson, Frank
206. Fodor, Jerry
207. Penrose, Roger
208. Smolin, Lee
209. Susskind, Leonard
210. Witten, Edward
211. Weinberg, Steven
212. Glashow, Sheldon
213. Salam, Abdus
214. Higgs, Peter
216. Schwinger, Julian
217. Tomonaga, Shin'ichirō
218. Yang, Chen Ning
219. Mills, Robert
220. Gell-Mann, Murray
221. Zweig, George
222. Gross, David
223. Politzer, Hugh
224. Wilczek, Frank
225. Cabibbo, Nicola
226. Kobayashi, Makoto
227. Maskawa, Toshihide
228. Cronin, James
229. Fitch, Val
230. Christenson, James
231. Turlay, René
232. Lederman, Leon
233. Steinberger, Jack
234. Schwartz, Melvin
235. Chadwick, James
236. Cockcroft, John
237. Walton, Ernest
238. Lawrence, Ernest
239. Fermi, Enrico
240. Oppenheimer, Julius Robert
241. Szilard, Leó
242. Teller, Edward
243. Sakharov, Andrei
244. Bethe, Hans
245. Gamow, George
246. Hoyle, Fred
247. Penzias, Arno
248. Wilson, Robert Woodrow
249. Hubble, Edwin
250. Lemaitre, Georges
251. Friedmann, Alexander
252. Chandrasekhar, Subrahmanyan
253. Schwarzschild, Karl
254. Kerr, Roy
257. Wheeler, John Archibald
259. Dyson, Freeman
260. Lamb, Willis
261. Retherford, Robert
262. Kusch, Polykarp
263. Rabi, Isidor Isaac
264. Stern, Otto
265. Gerlach, Walther
266. Compton, Arthur
267. Moseley, Henry
268. Bragg, William Henry
269. Bragg, William Lawrence
270. Laue, Max von
271. Röntgen, Wilhelm
272. Becquerel, Henri
273. Curie, Pierre
276. Soddy, Frederick
277. Geiger, Hans
278. Marsden, Ernest
279. Thomson, Joseph John
280. Millikan, Robert
281. Planck, Max
282. Boltzmann, Ludwig
283. Gibbs, Josiah Willard
284. Clausius, Rudolf
285. Carnot, Sadi
286. Joule, James Prescott
287. Helmholtz, Hermann von
288. Mayer, Julius Robert
289. Kelvin, William Thomson
290. Stokes, George Gabriel
291. Navier, Claude-Louis
292. Poisson, Siméon Denis
293. Green, George
294. Ampère, André-Marie
295. Oersted, Hans Christian
296. Coulomb, Charles-Augustin de
297. Franklin, Benjamin
298. Galvani, Luigi
300. Davy, Humphry
303. Hertz, Heinrich
304. Marconi, Guglielmo
307. Westinghouse, George
308. Bell, Alexander Graham
309. Gray, Elisha
310. Morse, Samuel
311. Cooke, William Fothergill
312. Wheatstone, Charles
313. Stephenson, George
314. Stephenson, Robert
315. Brunel, Isambard Kingdom
316. Trevithick, Richard
317. Newcomen, Thomas
319. Arkwright, Richard
320. Hargreaves, James
321. Cartwright, Edmund
322. Whitney, Eli
323. Fulton, Robert
324. Fitch, John
325. Rumsey, James
326. Daimler, Gottlieb
327. Benz, Karl
328. Otto, Nicolaus
329. Diesel, Rudolf
330. Ford, Henry
331. Wright, Orville
332. Wright, Wilbur
333. Lilienthal, Otto
334. Montgolfier, Joseph-Michel
335. Montgolfier, Étienne-Jacques
336. Lavoisier, Antoine
338. Avogadro, Amedeo
339. Gay-Lussac, Joseph Louis
340. Boyle, Robert
341. Charles, Jacques
342. Berzelius, Jöns Jacob
343. Mendeleev, Dmitri
345. Pauling, Linus
346. Lewis, Gilbert Newton
347. Brønsted, Johannes Nicolaus
348. Lowry, Thomas Martin
349. Arrhenius, Svante
350. Ostwald, Wilhelm
351. Nernst, Walther
352. van 't Hoff, Jacobus Henricus
353. Haber, Fritz
354. Bosch, Carl
355. Solvay, Ernest
356. Leblanc, Nicolas
357. Perkin, William Henry
358. Kekulé, August
359. Couper, Archibald Scott
360. Frankland, Edward
361. Kolbe, Hermann
362. Wöhler, Friedrich
363. Liebig, Justus von
364. Dumas, Jean-Baptiste
365. Berthelot, Marcellin
366. Cannizzaro, Stanislao
367. Gerhardt, Charles Frédéric
368. Laurent, Auguste
369. Wurtz, Charles Adolphe
370. Williamson, Alexander William
371. Hofmann, August Wilhelm
373. Grignard, François Auguste Victor
374. Friedel, Charles
375. Crafts, James Mason
376. Wittig, Georg
377. Diels, Otto
378. Alder, Kurt
379. Woodward, Robert Burns
380. Hoffmann, Roald
381. Fukui, Kenichi
382. Sharpless, Karl Barry
383. Noyori, Ryoji
384. Knowles, William Standish
385. Olah, George Andrew
386. Ziegler, Karl
387. Natta, Giulio
388. Staudinger, Hermann
389. Flory, Paul John
390. Carothers, Wallace Hume
391. Baekeland, Leo
392. Goodyear, Charles
393. Macintosh, Charles
394. Hancock, Thomas
395. Priestley, Joseph
396. Scheele, Carl Wilhelm
397. Cavendish, Henry
398. Stahl, Georg Ernst
400. Hooke, Robert
401. Huygens, Christiaan
402. Young, Thomas
403. Fresnel, Augustin-Jean
404. Snell, Willebrord
406. Spinoza, Baruch
408. Hume, David
410. Hobbes, Thomas
411. Rousseau, Jean-Jacques
412. Montesquieu, Charles de Secondat
413. Voltaire, François-Marie Arouet
414. Diderot, Denis
415. d'Alembert, Jean le Rond
416. Condorcet, Nicolas de Caritat
417. Helvetius, Claude Adrien
418. Holbach, Paul Henri Thiry
419. Bentham, Jeremy
420. Mill, John Stuart
421. Spencer, Herbert
422. Comte, Auguste
423. Durkheim, Émile
424. Weber, Max
425. Simmel, Georg
426. Pareto, Vilfredo
427. Mosca, Gaetano
428. Michels, Robert
429. Mannheim, Karl
