3. Gutenberg, Johannes
4. Newton, Isaac
5. Darwin, Charles
6. Einstein, Albert
11. Marx, Karl
12. Smith, Adam
13. Copernicus, Nicolaus
15. Descartes, René
16. Locke, John
17. Kant, Immanuel
18. Hegel, Georg Wilhelm Friedrich
19. Nietzsche, Friedrich
20. Freud, Sigmund
24. Caesar, Julius
27. Muhammad ibn Abdullah al-Wahhab
28. Luther, Martin
29. Calvin, John
30. Aquinas, Thomas
32. Machiavelli, Niccolò
33. Hobbes, Thomas
34. Rousseau, Jean-Jacques
35. Montesquieu, Charles de Secondat
37. Diderot, Denis
38. Hume, David
39. Spinoza, Baruch
40. Leibniz, Gottfried Wilhelm
41. Bacon, Francis
42. Boyle, Robert
43. Lavoisier, Antoine
45. Mendeleev, Dmitri
46. Faraday, Michael
47. Maxwell, James Clerk
48. Planck, Max
49. Bohr, Niels
50. Heisenberg, Werner
51. Schrödinger, Erwin
52. Dirac, Paul
53. Feynman, Richard
54. Hawking, Stephen
55. Hubble, Edwin
56. Lemaitre, Georges
57. Curie, Marie
58. Rutherford, Ernest
59. Chadwick, James
60. Fermi, Enrico
61. Oppenheimer, J. Robert
62. Sanger, Frederick
63. Watson, James
64. Crick, Francis
65. Franklin, Rosalind
66. Pauling, Linus
67. Hodgkin, Dorothy
68. Brenner, Sydney
69. Baltimore, David
70. Boyer, Herbert
71. Cohen, Stanley
72. Mullis, Kary
73. Venter, Craig
74. Collins, Francis
75. Doudna, Jennifer
76. Charpentier, Emmanuelle
77. Lander, Eric
78. Gould, Stephen Jay
79. Dawkins, Richard
80. Hamilton, William D.
81. Trivers, Robert
82. Wilson, Edward O.
83. Lorenz, Konrad
84. Tinbergen, Nikolaas
85. Skinner, B.F.
86. Pavlov, Ivan
87. Thorndike, Edward
88. Piaget, Jean
89. Vygotsky, Lev
90. Erikson, Erik
91. Maslow, Abraham
92. Rogers, Carl
93. Jung, Carl
94. Adler, Alfred
95. Bandura, Albert
96. Kahneman, Daniel
97. Tversky, Amos
98. Simon, Herbert
99. Keynes, John Maynard
100. Friedman, Milton
101. Samuelson, Paul
102. Arrow, Kenneth
103. Sen, Amartya
104. Stiglitz, Joseph
105. Piketty, Thomas
106. Schumpeter, Joseph
107. Hayek, Friedrich
108. Mises, Ludwig von
109. Walras, Léon
110. Pareto, Vilfredo
111. Marshall, Alfred
112. Jevons, William Stanley
113. Menger, Carl
114. Ricardo, David
115. Malthus, Thomas
116. Quesnay, François
117. Cantillon, Richard
118. Mercator, Gerardus
119. Magellan, Ferdinand
120. Columbus, Christopher
121. da Gama, Vasco
124. Cook, James
125. Humboldt, Alexander von
126. Lyell, Charles
127. Wegener, Alfred
128. Hess, Harry
129. Tuzo Wilson, John
131. Gutenberg, Beno
132. Mohorovičić, Andrija
133. Ewing, Maurice
134. Cousteau, Jacques
135. Carson, Rachel
136. Muir, John
137. Leopold, Aldo
138. Odum, Eugene
139. Tansley, Arthur
140. Clements, Frederic
141. Gleason, Henry
142. Elton, Charles
143. Lindeman, Raymond
144. Whittaker, Robert
145. MacArthur, Robert
147. Ehrlich, Paul
148. Meadows, Donella
149. Lovelock, James
150. Margulis, Lynn
151. Woese, Carl
152. Leeuwenhoek, Antonie van
153. Hooke, Robert
154. Schleiden, Matthias
155. Schwann, Theodor
156. Virchow, Rudolf
157. Pasteur, Louis
158. Koch, Robert
159. Lister, Joseph
160. Fleming, Alexander
161. Florey, Howard
162. Chain, Ernst Boris
163. Domagk, Gerhard
165. Metchnikoff, Ilya
166. Landsteiner, Karl
167. Jenner, Edward
168. Salk, Jonas
169. Sabin, Albert
170. Waksman, Selman
171. Cormack, Allan
172. Hounsfield, Godfrey
173. Röntgen, Wilhelm
174. Becquerel, Henri
175. Bragg, William Henry
176. Bragg, William Lawrence
177. Bardeen, John
178. Brattain, Walter
179. Shockley, William
180. Kilby, Jack
182. Moore, Gordon
183. Turing, Alan
184. von Neumann, John
185. Church, Alonzo
186. Gödel, Kurt
187. Hilbert, David
188. Cantor, Georg
189. Riemann, Bernhard
190. Gauss, Carl Friedrich
191. Euler, Leonhard
192. Bernoulli, Daniel
193. Lagrange, Joseph-Louis
194. Laplace, Pierre-Simon
195. Fourier, Jean-Baptiste Joseph
196. Cauchy, Augustin-Louis
197. Weierstrass, Karl
198. Dedekind, Richard
199. Kronecker, Leopold
200. Poincaré, Henri
202. Brouwer, Luitzen Egbertus Jan
203. Zermelo, Ernst
204. Fraenkel, Abraham
205. Russell, Bertrand
206. Whitehead, Alfred North
207. Wittgenstein, Ludwig
208. Carnap, Rudolf
209. Quine, Willard Van Orman
210. Popper, Karl
211. Kuhn, Thomas
212. Lakatos, Imre
213. Feyerabend, Paul
214. Hempel, Carl
215. Nagel, Ernest
216. Sellars, Wilfrid
217. Kripke, Saul
218. Lewis, David
219. Armstrong, David
221. Frege, Gottlob
223. Austin, John Langshaw
224. Searle, John
226. Strawson, Peter
227. Ryle, Gilbert
228. Ayer, Alfred Jules
229. Moore, George Edward
232. Heidegger, Martin
233. Husserl, Edmund
234. Sartre, Jean-Paul
235. Camus, Albert
236. Merleau-Ponty, Maurice
237. Gadamer, Hans-Georg
238. Ricoeur, Paul
239. Derrida, Jacques
240. Foucault, Michel
241. Deleuze, Gilles
242. Guattari, Félix
243. Lacan, Jacques
244. Lévi-Strauss, Claude
245. Bourdieu, Pierre
246. Goffman, Erving
247. Garfinkel, Harold
248. Berger, Peter
249. Luckmann, Thomas
250. Blumer, Herbert
251. Mead, George Herbert
252. Cooley, Charles Horton
253. Durkheim, Émile
254. Weber, Max
255. Simmel, Georg
256. Tönnies, Ferdinand
257. Comte, Auguste
258. Saint-Simon, Claude Henri de
259. Fourier, Charles
260. Owen, Robert
261. Proudhon, Pierre-Joseph
262. Bakunin, Mikhail
263. Kropotkin, Peter
264. Goldman, Emma
265. Luxemburg, Rosa
266. Lenin, Vladimir
268. Trotsky, Leon
270. Gramsci, Antonio
271. Althusser, Louis
272. Adorno, Theodor
273. Horkheimer, Max
274. Marcuse, Herbert
275. Habermas, Jürgen
276. Rawls, John
278. Dworkin, Ronald
279. MacIntyre, Alasdair
280. Sandel, Michael
281. Taylor, Charles
282. Young, Iris Marion
283. Fraser, Nancy
284. Butler, Judith
285. Wittig, Monique
286. Rich, Adrienne
287. Hooks, bell
288. Davis, Angela
289. Crenshaw, Kimberlé
290. Spillers, Hortense
291. Morrison, Toni
292. Lorde, Audre
293. Anzaldúa, Gloria
294. Lugones, María
295. Quijano, Aníbal
296. Mignolo, Walter
297. Said, Edward
298. Spivak, Gayatri Chakravorty
299. Bhabha, Homi
300. Fanon, Frantz
301. Césaire, Aimé
302. Senghor, Léopold Sédar
303. Achebe, Chinua
304. Soyinka, Wole
305. Thiong'o, Ngũgĩ wa
306. Glissant, Édouard
307. Wallerstein, Immanuel
308. Braudel, Fernand
309. Bloch, Marc
310. Febvre, Lucien
311. Le Roy Ladurie, Emmanuel
312. Ginzburg, Carlo
313. Thompson, E.P.
314. Hobsbawm, Eric
316. Koselleck, Reinhart
317. White, Hayden
319. Collingwood, Robin George
320. Croce, Benedetto
322. Vico, Giambattista
323. Herder, Johann Gottfried
324. Ranke, Leopold von
325. Michelet, Jules
326. Macaulay, Thomas Babington
327. Gibbon, Edward
336. Grotius, Hugo
341. Bentham, Jeremy
342. Mill, John Stuart
343. Sidgwick, Henry
345. Ross, William David
346. Stevenson, Charles Leslie
347. Hare, Richard Mervyn
348. Mackie, John Leslie
349. Foot, Philippa
350. Anscombe, Elizabeth
352. Nussbaum, Martha
353. Singer, Peter
354. Regan, Tom
356. Jonas, Hans
357. Callicott, J. Baird
358. Warren, Karen
359. Shiva, Vandana
360. Merchant, Carolyn
361. Haraway, Donna
362. Harding, Sandra
363. Longino, Helen
368. Laudan, Larry
369. van Fraassen, Bas
370. Boyd, Richard
371. Putnam, Hilary
372. Fodor, Jerry
373. Dennett, Daniel
375. Chalmers, David
376. Jackson, Frank
377. Nagel, Thomas
378. Churchland, Paul
379. Churchland, Patricia
380. Edelman, Gerald
382. Koch, Christof
383. Penrose, Roger
384. Hameroff, Stuart
385. Tononi, Giulio
386. Dehaene, Stanislas
387. Damasio, António
388. LeDoux, Joseph
389. Kandel, Eric
390. Hubel, David
391. Wiesel, Torsten
392. Penfield, Wilder
393. Broca, Paul
394. Wernicke, Carl
395. Golgi, Camillo
396. Ramón y Cajal, Santiago
397. Sherrington, Charles
398. Hodgkin, Alan
399. Huxley, Andrew
400. Eccles, John
401. Katz, Bernard
402. Dale, Henry
403. Loewi, Otto
404. Axelrod, Julius
405. Snyder, Solomon
406. Changeux, Jean-Pierre
407. Ungerleider, Leslie
408. Mishkin, Mortimer
409. Squire, Larry
410. Tulving, Endel
411. Atkinson, Richard
412. Shiffrin, Richard
413. Baddeley, Alan
414. Miller, George
415. Neisser, Ulric
416. Broadbent, Donald
417. Treisman, Anne
418. Posner, Michael
421. Ariely, Dan
422. Thaler, Richard
423. Sunstein, Cass
424. Gigerenzer, Gerd
425. Cosmides, Leda
426. Tooby, John
427. Pinker, Steven
428. Buss, David
429. Shackelford, Todd
430. Geary, David
431. Bjorklund, David
432. Gopnik, Alison
433. Wellman, Henry
434. Baron-Cohen, Simon
435. Frith, Uta
436. Happé, Francesca
437. Happe, Francesca
438. Kanner, Leo
439. Asperger, Hans
440. Bettelheim, Bruno
441. Lovaas, Ivar
442. Grandin, Temple
443. Williams, Donna
444. Sinclair, Jim
445. Silberman, Steve
446. Sasson, Ned
447. Lai, Meng-Chuan
448. Constantino, John
449. Geschwind, Daniel
450. Devlin, Bernie
451. Schellenberg, Gerard
452. Sutcliffe, James
453. Szatmari, Peter
454. Volkmar, Fred
455. Klin, Ami
456. Jones, Warren
457. Dawson, Geraldine
